chain,layer,feature_idx,rank,stage_from,stage_to,dec_cos,dec_drift,enc_cos,density_start,density_end
shuffled,6,5465,16,instruct_base,ppo_step30,0.31144943833351135,0.688550591468811,0.662257730960846,4.4869208068121225e-05,0.0016152914613485336
shuffled,6,4703,17,instruct_base,ppo_step30,0.3123413324356079,0.6876586675643921,0.6396030187606812,0.0026921522803604603,0.003477363381534815
shuffled,6,4211,18,instruct_base,ppo_step30,0.31568998098373413,0.6843100190162659,0.6982495188713074,8.973841613624245e-05,0.0016601606039330363
shuffled,6,6879,19,instruct_base,ppo_step30,0.31634289026260376,0.6836571097373962,0.7147288918495178,0.00031408443464897573,0.0013236416270956397
shuffled,6,1833,20,instruct_base,ppo_step30,0.31869569420814514,0.6813043355941772,0.527305543422699,4.4869208068121225e-05,0.012563377618789673
shuffled,12,5428,1,instruct_base,ppo_step30,0.1336328536272049,0.8663671612739563,0.5629781484603882,0.0002916498342528939,0.0013685107696801424
shuffled,12,4451,2,instruct_base,ppo_step30,0.14259417355060577,0.8574058413505554,0.49235203862190247,0.0001794768322724849,0.0018172028940171003
shuffled,12,3240,3,instruct_base,ppo_step30,0.16824963688850403,0.8317503929138184,0.5729444622993469,0.00033651903504505754,0.0013012069975957274
shuffled,12,1697,4,instruct_base,ppo_step30,0.168827086687088,0.8311729431152344,0.5291189551353455,0.00011217301653232425,0.002894063713029027
shuffled,12,5498,5,instruct_base,ppo_step30,0.17405152320861816,0.8259484767913818,0.4870932400226593,2.2434604034060612e-05,0.0030735405161976814
shuffled,12,3181,6,instruct_base,ppo_step30,0.17407408356666565,0.8259259462356567,0.45682036876678467,0.0002692152338568121,0.007605330552905798
shuffled,12,6451,7,instruct_base,ppo_step30,0.17550474405288696,0.824495255947113,0.4662144184112549,2.2434604034060612e-05,0.004913178272545338
shuffled,12,4877,8,instruct_base,ppo_step30,0.17696818709373474,0.8230317831039429,0.4607997536659241,6.730380846420303e-05,0.004329878371208906
shuffled,12,6149,9,instruct_base,ppo_step30,0.17997628450393677,0.8200237154960632,0.4988410770893097,0.0002916498342528939,0.004890743643045425
shuffled,12,5373,10,instruct_base,ppo_step30,0.18067121505737305,0.819328784942627,0.48006951808929443,0.0002019114326685667,0.0021985911298543215
shuffled,12,3763,11,instruct_base,ppo_step30,0.18373243510723114,0.8162675499916077,0.5548471212387085,0.0002467806334607303,0.0013460761401802301
shuffled,12,2756,12,instruct_base,ppo_step30,0.19446763396263123,0.8055323362350464,0.4487731456756592,0.0002019114326685667,0.004509355407208204
shuffled,12,794,13,instruct_base,ppo_step30,0.2000035047531128,0.7999964952468872,0.49263304471969604,0.0002243460330646485,0.001794768264517188
shuffled,12,4875,14,instruct_base,ppo_step30,0.2003033608198166,0.7996966242790222,0.4901154041290283,0.00013460761692840606,0.003275451948866248
shuffled,12,3545,15,instruct_base,ppo_step30,0.20319943130016327,0.7968005537986755,0.5179067254066467,0.0002692152338568121,0.003791447961702943
